"filename", "language", "JSON with Comments", "HTML", "XML", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\app\components\user\dashboard\StatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\Workspace\Edu_Learn_Next\app\components\user\dashboard\UserStatisticsCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 5, 40
"e:\Workspace\Edu_Learn_Next\app\components\user\dashboard\UserWelcomeBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"e:\Workspace\Edu_Learn_Next\app\components\user\exercises\ExerciseListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"e:\Workspace\Edu_Learn_Next\app\components\user\exercises\RecentExercisesList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"e:\Workspace\Edu_Learn_Next\app\components\user\exercises\UserExercisesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"e:\Workspace\Edu_Learn_Next\app\components\user\exercises\UserExercisesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 4, 10, 136
"e:\Workspace\Edu_Learn_Next\app\components\user\exercises\UserExercisesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 6, 104
"e:\Workspace\Edu_Learn_Next\app\components\user\grades\GradeStatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 5, 45
"e:\Workspace\Edu_Learn_Next\app\components\user\grades\UserGradesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 1, 6, 67
"e:\Workspace\Edu_Learn_Next\app\components\vocabulary\VocabularyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 4, 7, 49
